red_1,red_2,red_3,red_4,red_5,red_6,blue
01,05,10,19,26,28,12
21,22,26,28,31,32,07
08,12,16,19,26,32,03
13,17,20,21,22,27,01
04,05,06,08,09,18,11
06,10,13,15,32,33,15
01,07,17,23,25,31,11
04,14,16,23,28,29,03
05,15,19,25,26,29,15
06,08,15,19,20,31,05
01,07,08,10,12,24,01
03,06,18,19,21,31,01
03,15,17,23,27,30,11
02,10,11,17,18,29,16
03,09,13,22,23,25,06
08,13,17,18,20,27,13
04,06,15,28,32,33,14
05,08,10,11,27,28,11
11,14,16,18,24,33,04
01,15,20,22,25,28,14
11,18,20,23,31,32,15
01,10,25,27,30,32,09
03,05,11,15,20,23,09
10,12,15,25,26,27,14
01,03,06,10,11,29,16
03,16,18,31,32,33,12
02,04,11,12,18,32,13
01,02,09,10,15,22,06
21,22,24,31,32,33,01
05,12,17,18,24,28,12
